PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION,NUMBER_OR_ROWS,NUMBER_OF_SALES,NUMBER_OF_UNITS_SOLD,REVENUE_PER_TRANSACTION,TOTAL_REVENUE,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_TREND
Coffee beans,Green beans,Guatemalan Sustainably Grown,Lower Manhattan,1,1,1,10.00,10.00,202306,Jun,Thu,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,2,2,3,2.40,2.40,202306,Jun,Thu,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,4,4,7,5.60,5.60,202306,Jun,Mon,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan,8,8,17,37.40,37.40,202306,Jun,Sun,Afternoon,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Lower Manhattan,5,5,9,22.50,22.50,202306,Jun,Sun,Afternoon,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,2,2,2,90.00,90.00,202306,Jun,Sun,Afternoon,High
Coffee,Barista Espresso,Espresso shot,Lower Manhattan,3,3,5,15.00,15.00,202306,Jun,Sun,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,6,6,10,30.00,30.00,202306,Jun,Sun,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan,6,6,8,24.00,24.00,202306,Jun,Sun,Afternoon,Low
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,3,3,3,9.75,9.75,202306,Jun,Sun,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,5,5,10,8.00,8.00,202306,Jun,Sun,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,12,12,16,12.80,12.80,202306,Jun,Sun,Morning,Low
Loose Tea,Black tea,Earl Grey,Lower Manhattan,2,2,2,17.90,17.90,202306,Jun,Sun,Morning,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,7,7,10,8.00,8.00,202306,Jun,Sun,Afternoon,Low
Coffee beans,Espresso Beans,Espresso Roast,Lower Manhattan,1,1,1,14.75,14.75,202306,Jun,Mon,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,4,4,7,5.60,5.60,202306,Jun,Mon,Afternoon,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,1,1,1,22.50,22.50,202306,Jun,Mon,Afternoon,Low
Bakery,Scone,Cranberry Scone,Lower Manhattan,5,5,5,16.25,16.25,202306,Jun,Mon,Afternoon,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,3,3,3,26.85,26.85,202306,Jun,Sun,Afternoon,Low
Bakery,Pastry,Chocolate Croissant,Lower Manhattan,5,5,5,18.75,18.75,202306,Jun,Mon,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,9,9,16,12.80,12.80,202306,Jun,Mon,Afternoon,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,13,13,19,15.20,15.20,202306,Jun,Mon,Morning,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,2,2,2,90.00,90.00,202306,Jun,Mon,Morning,High
Loose Tea,Chai tea,Spicy Eye Opener Chai,Lower Manhattan,2,2,2,21.90,21.90,202306,Jun,Mon,Morning,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,3,3,6,4.80,4.80,202306,Jun,Sun,Evening,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202306,Jun,Mon,Morning,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Lower Manhattan,1,1,1,19.75,19.75,202306,Jun,Mon,Morning,Low
Bakery,Scone,Jumbo Savory Scone,Lower Manhattan,8,8,8,30.00,30.00,202306,Jun,Mon,Morning,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,17,17,29,23.20,23.20,202306,Jun,Mon,Morning,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,2,2,2,12.80,12.80,202306,Jun,Mon,Morning,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,21,21,44,35.20,35.20,202306,Jun,Mon,Morning,High
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,19,19,31,24.80,24.80,202306,Jun,Mon,Morning,Low
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,3,3,3,13.50,13.50,202306,Jun,Sun,Evening,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202306,Jun,Tue,Morning,Low
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,3,3,6,18.00,18.00,202306,Jun,Tue,Afternoon,Low
Bakery,Scone,Ginger Scone,Lower Manhattan,9,9,10,29.50,29.50,202306,Jun,Tue,Afternoon,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,2,2,2,90.00,90.00,202306,Jun,Tue,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Lg,Lower Manhattan,1,1,2,6.00,6.00,202306,Jun,Tue,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,4,4,8,38.00,38.00,202306,Jun,Tue,Afternoon,High
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,16,16,27,21.60,21.60,202306,Jun,Tue,Morning,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202306,Jun,Tue,Afternoon,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,8,8,12,9.60,9.60,202306,Jun,Tue,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,1,1,2,1.60,1.60,202306,Jun,Tue,Afternoon,Low
Flavours,Regular syrup,Carmel syrup,Lower Manhattan,8,8,10,8.00,8.00,202306,Jun,Tue,Afternoon,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,4,4,5,4.00,4.00,202306,Jun,Tue,Afternoon,Low
Loose Tea,Herbal tea,Peppermint,Lower Manhattan,1,1,1,8.95,8.95,202306,Jun,Tue,Afternoon,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,3,3,3,39.99,39.99,202306,Jun,Tue,Morning,High
Branded,Housewares,I Need My Bean! Latte cup,Lower Manhattan,2,2,2,28.00,28.00,202306,Jun,Tue,Morning,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Lower Manhattan,9,9,13,52.00,52.00,202306,Jun,Fri,Afternoon,High
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,2,2,2,56.00,56.00,202306,Jun,Tue,Morning,High
Coffee beans,Espresso Beans,Espresso Roast,Lower Manhattan,3,3,3,44.25,44.25,202306,Jun,Tue,Morning,High
Bakery,Biscotti,Ginger Biscotti,Lower Manhattan,3,3,3,10.50,10.50,202306,Jun,Tue,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,1,1,1,3.00,3.00,202306,Jun,Sun,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan,4,4,9,22.50,22.50,202306,Jun,Sun,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,2,2,4,12.00,12.00,202306,Jun,Sun,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,7,7,12,9.60,9.60,202306,Jun,Sun,Evening,Low
Tea,Brewed Black tea,English Breakfast Rg,Lower Manhattan,1,1,2,5.00,5.00,202306,Jun,Sun,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,7,7,11,8.80,8.80,202306,Jun,Sun,Afternoon,Low
Bakery,Pastry,Croissant,Lower Manhattan,4,4,4,14.00,14.00,202306,Jun,Sun,Afternoon,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,1,1,1,13.33,13.33,202306,Jun,Sun,Afternoon,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,1,1,2,6.20,6.20,202306,Jun,Sun,Afternoon,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,1,1,1,9.25,9.25,202306,Jun,Sun,Afternoon,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,1,1,1,45.00,45.00,202306,Jun,Mon,Afternoon,High
Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan,9,9,15,37.50,37.50,202306,Jun,Thu,Afternoon,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,10,10,16,76.00,76.00,202306,Jun,Fri,Afternoon,High
Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan,10,10,16,35.20,35.20,202306,Jun,Fri,Afternoon,High
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202306,Jun,Fri,Afternoon,Low
Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan,12,12,18,53.10,53.10,202306,Jun,Fri,Afternoon,High
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,7,7,12,36.00,36.00,202306,Jun,Fri,Afternoon,High
Tea,Brewed herbal tea,Lemon Grass Rg,Lower Manhattan,3,3,4,10.00,10.00,202305,May,Sun,Evening,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,3,3,4,12.00,12.00,202305,May,Sun,Evening,Low
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,3,3,4,12.00,12.00,202305,May,Sun,Evening,Low
Coffee,Barista Espresso,Cappuccino,Lower Manhattan,3,3,5,18.75,18.75,202305,May,Sun,Evening,Low
Bakery,Scone,Ginger Scone,Lower Manhattan,2,2,2,6.50,6.50,202305,May,Sun,Evening,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Sun,Afternoon,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,3,3,4,12.40,12.40,202305,May,Sun,Afternoon,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,1,1,1,9.25,9.25,202305,May,Sat,Evening,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Sat,Evening,Low
Bakery,Scone,Ginger Scone,Lower Manhattan,2,2,2,5.90,5.90,202305,May,Sat,Evening,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Lower Manhattan,8,8,12,54.00,54.00,202306,Jun,Fri,Afternoon,High
Coffee beans,Premium Beans,Jamacian Coffee River,Lower Manhattan,1,1,1,19.75,19.75,202305,May,Sat,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,2,2,5,23.75,23.75,202305,May,Sat,Afternoon,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Afternoon,Low
Coffee beans,Espresso Beans,Espresso Roast,Lower Manhattan,1,1,1,14.75,14.75,202305,May,Sat,Afternoon,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,1,1,1,12.00,12.00,202305,May,Sat,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Sat,Morning,Low
Loose Tea,Herbal tea,Peppermint,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Sat,Morning,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,1,1,1,45.00,45.00,202305,May,Sat,Morning,High
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,1,1,1,28.00,28.00,202305,May,Sat,Morning,Low
Tea,Brewed Chai tea,Traditional Blend Chai Lg,Lower Manhattan,2,2,4,12.00,12.00,202305,May,Fri,Evening,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,3,3,3,9.00,9.00,202305,May,Fri,Evening,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,1,1,1,6.40,6.40,202305,May,Sat,Evening,Low
Coffee,Barista Espresso,Espresso shot,Lower Manhattan,21,21,32,96.00,96.00,202306,Jun,Thu,Morning,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Lower Manhattan,19,19,34,102.00,102.00,202306,Jun,Thu,Morning,High
Bakery,Pastry,Almond Croissant,Lower Manhattan,4,4,4,15.00,15.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan,10,10,16,40.80,40.80,202306,Jun,Fri,Afternoon,High
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,6,6,6,19.50,19.50,202306,Jun,Fri,Afternoon,Low
Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan,5,5,8,28.00,28.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan,8,8,14,35.00,35.00,202306,Jun,Fri,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan,7,7,10,20.00,20.00,202306,Jun,Fri,Afternoon,Low
Bakery,Scone,Jumbo Savory Scone,Lower Manhattan,5,5,5,20.63,20.63,202306,Jun,Fri,Afternoon,Low
Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan,7,7,9,27.00,27.00,202306,Jun,Fri,Afternoon,Low
Bakery,Pastry,Chocolate Croissant,Lower Manhattan,4,4,4,15.00,15.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,6,6,10,30.00,30.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Chai tea,Traditional Blend Chai Rg,Lower Manhattan,5,5,7,17.50,17.50,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan,10,10,17,52.70,52.70,202306,Jun,Fri,Afternoon,High
Coffee,Barista Espresso,Espresso shot,Lower Manhattan,6,6,10,30.00,30.00,202306,Jun,Fri,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan,5,5,8,16.00,16.00,202306,Jun,Fri,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,8,8,11,34.10,34.10,202306,Jun,Fri,Afternoon,High
Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan,30,30,52,104.00,104.00,202306,Jun,Thu,Morning,High
Bakery,Scone,Ginger Scone,Lower Manhattan,7,7,7,22.96,22.96,202306,Jun,Fri,Afternoon,Low
Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan,7,7,13,32.50,32.50,202306,Jun,Fri,Afternoon,High
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,5,5,6,18.00,18.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Green tea,Serenity Green Tea Rg,Lower Manhattan,8,8,10,25.00,25.00,202306,Jun,Fri,Afternoon,Low
Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan,2,2,3,10.50,10.50,202306,Jun,Fri,Afternoon,Low
Coffee,Barista Espresso,Latte,Lower Manhattan,15,15,27,101.25,101.25,202306,Jun,Fri,Afternoon,High
Coffee,Barista Espresso,Cappuccino Lg,Lower Manhattan,9,9,12,51.00,51.00,202306,Jun,Fri,Afternoon,High
Bakery,Scone,Oatmeal Scone,Lower Manhattan,5,5,5,15.00,15.00,202306,Jun,Fri,Afternoon,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan,11,11,15,56.25,56.25,202306,Jun,Fri,Afternoon,High
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,6,6,6,27.00,27.00,202306,Jun,Fri,Afternoon,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Lower Manhattan,11,11,15,56.25,56.25,202306,Jun,Fri,Afternoon,High
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan,9,9,12,29.40,29.40,202306,Jun,Fri,Afternoon,Low
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan,8,8,12,24.00,24.00,202306,Jun,Fri,Afternoon,Low
Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan,7,7,10,25.00,25.00,202306,Jun,Fri,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Fri,Morning,Low
Coffee beans,Premium Beans,Jamacian Coffee River,Lower Manhattan,1,1,1,19.75,19.75,202305,May,Fri,Afternoon,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,2,2,2,1.60,1.60,202305,May,Mon,Afternoon,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,1,1,1,9.25,9.25,202305,May,Mon,Afternoon,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,2,2,2,90.00,90.00,202305,May,Mon,Morning,High
Coffee beans,Green beans,Guatemalan Sustainably Grown,Lower Manhattan,1,1,1,10.00,10.00,202305,May,Mon,Morning,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,1,1,1,22.50,22.50,202305,May,Mon,Morning,Low
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,1,1,1,13.33,13.33,202305,May,Mon,Morning,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,1,1,1,6.40,6.40,202305,May,Mon,Morning,Low
Coffee,Organic brewed coffee,Brazilian Lg,Lower Manhattan,2,2,5,17.50,17.50,202305,May,Sun,Evening,Low
Bakery,Pastry,Croissant,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Sun,Evening,Low
Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan,2,2,2,6.00,6.00,202305,May,Sun,Evening,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,7,7,11,33.00,33.00,202305,May,Sun,Evening,High
Packaged Chocolate,Drinking Chocolate,Chili Mayan,Lower Manhattan,1,1,1,13.33,13.33,202305,May,Mon,Afternoon,Low
Bakery,Scone,Oatmeal Scone,Lower Manhattan,1,1,1,3.00,3.00,202305,May,Fri,Afternoon,Low
Coffee beans,Organic Beans,Brazilian - Organic,Lower Manhattan,1,1,1,18.00,18.00,202305,May,Fri,Afternoon,Low
Coffee beans,Gourmet Beans,Columbian Medium Roast,Lower Manhattan,1,1,1,15.00,15.00,202305,May,Mon,Afternoon,Low
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,1,1,1,28.00,28.00,202305,May,Fri,Morning,Low
Loose Tea,Chai tea,Spicy Eye Opener Chai,Lower Manhattan,1,1,1,10.95,10.95,202305,May,Fri,Morning,Low
Loose Tea,Chai tea,Morning Sunrise Chai,Lower Manhattan,1,1,1,9.50,9.50,202305,May,Fri,Morning,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,1,1,1,22.50,22.50,202305,May,Fri,Morning,Low
Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan,1,1,2,6.00,6.00,202305,May,Thu,Evening,Low
Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan,1,1,3,9.00,9.00,202305,May,Thu,Evening,Low
Coffee beans,Green beans,Guatemalan Sustainably Grown,Lower Manhattan,1,1,1,10.00,10.00,202305,May,Thu,Afternoon,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Wed,Morning,Low
Coffee beans,Organic Beans,Organic Decaf Blend,Lower Manhattan,1,1,1,22.50,22.50,202305,May,Thu,Morning,Low
Branded,Clothing,I Need My Bean! T-shirt,Lower Manhattan,3,3,3,84.00,84.00,202305,May,Thu,Morning,High
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Thu,Morning,Low
Coffee beans,Green beans,Guatemalan Sustainably Grown,Lower Manhattan,2,2,2,20.00,20.00,202305,May,Thu,Morning,Low
Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic,Lower Manhattan,1,1,1,7.60,7.60,202305,May,Wed,Evening,Low
Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Lower Manhattan,4,4,7,5.60,5.60,202305,May,Wed,Evening,Low
Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan,1,1,1,3.00,3.00,202305,May,Sun,Evening,Low
Bakery,Scone,Jumbo Savory Scone,Lower Manhattan,1,1,1,3.75,3.75,202305,May,Wed,Night,Low
Tea,Brewed Black tea,Earl Grey Rg,Lower Manhattan,1,1,2,5.00,5.00,202305,May,Wed,Night,Low
Branded,Housewares,I Need My Bean! Diner mug,Lower Manhattan,2,2,2,24.00,24.00,202305,May,Wed,Evening,Low
Loose Tea,Chai tea,Morning Sunrise Chai,Lower Manhattan,2,2,2,19.00,19.00,202305,May,Wed,Evening,Low
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,1,1,1,6.40,6.40,202305,May,Wed,Evening,Low
Coffee beans,Premium Beans,Civet Cat,Lower Manhattan,1,1,1,45.00,45.00,202305,May,Wed,Afternoon,High
Coffee beans,Espresso Beans,Primo Espresso Roast,Lower Manhattan,1,1,1,20.45,20.45,202305,May,Wed,Morning,Low
Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Lower Manhattan,2,2,2,7.00,7.00,202305,May,Sun,Evening,Low
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,2,2,3,9.00,9.00,202305,May,Tue,Afternoon,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,2,2,2,42.00,42.00,202305,May,Tue,Morning,High
Packaged Chocolate,Drinking Chocolate,Dark chocolate,Lower Manhattan,1,1,1,6.40,6.40,202305,May,Tue,Morning,Low
Coffee beans,Green beans,Guatemalan Sustainably Grown,Lower Manhattan,1,1,1,10.00,10.00,202305,May,Tue,Morning,Low
Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan,1,1,1,3.25,3.25,202305,May,Mon,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,2,2,2,9.50,9.50,202305,May,Mon,Evening,Low
Coffee,Barista Espresso,Latte Rg,Lower Manhattan,6,6,11,46.75,46.75,202306,Jun,Fri,Evening,High
Tea,Brewed herbal tea,Lemon Grass Lg,Lower Manhattan,1,1,2,6.00,6.00,202305,May,Sun,Evening,Low
Tea,Brewed herbal tea,Peppermint Rg,Lower Manhattan,1,1,2,5.00,5.00,202305,May,Sun,Evening,Low
Tea,Brewed Black tea,English Breakfast Lg,Lower Manhattan,1,1,2,6.00,6.00,202305,May,Sun,Evening,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,1,1,1,3.50,3.50,202305,May,Sun,Evening,Low
Coffee beans,Gourmet Beans,Ethiopia,Lower Manhattan,1,1,1,21.00,21.00,202305,May,Wed,Morning,Low
Bakery,Scone,Ginger Scone,Lower Manhattan,2,2,2,6.50,6.50,202305,May,Tue,Evening,Low
Flavours,Regular syrup,Hazelnut syrup,Lower Manhattan,4,4,7,5.60,5.60,202305,May,Tue,Evening,Low
Coffee beans,Organic Beans,Brazilian - Organic,Lower Manhattan,1,1,1,18.00,18.00,202305,May,Tue,Afternoon,Low
Loose Tea,Black tea,Earl Grey,Lower Manhattan,1,1,1,8.95,8.95,202305,May,Tue,Morning,Low
Loose Tea,Chai tea,Traditional Blend Chai,Lower Manhattan,2,2,2,17.90,17.90,202305,May,Tue,Morning,Low
Loose Tea,Green tea,Serenity Green Tea,Lower Manhattan,2,2,2,18.50,18.50,202305,May,Tue,Morning,Low
Loose Tea,Chai tea,Spicy Eye Opener Chai,Lower Manhattan,1,1,1,10.95,10.95,202305,May,Mon,Evening,Low
Flavours,Regular syrup,Chocolate syrup,Lower Manhattan,1,1,1,0.80,0.80,202305,May,Mon,Evening,Low
Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Lower Manhattan,1,1,3,12.00,12.00,202305,May,Mon,Evening,Low
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Lower Manhattan,19,19,27,101.25,101.25,202306,Jun,Fri,Morning,High
Coffee,Drip coffee,Our Old Time Diner Blend Rg,Lower Manhattan,8,8,13,32.50,32.50,202306,Jun,Thu,Evening,High
Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Lower Manhattan,3,3,5,15.50,15.50,202306,Jun,Thu,Evening,Low
Coffee,Barista Espresso,Cappuccino,Lower Manhattan,6,6,10,37.50,37.50,202306,Jun,Thu,Evening,High
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,4,4,4,18.00,18.00,202306,Jun,Thu,Evening,Low
Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Lower Manhattan,11,11,20,49.00,49.00,202306,Jun,Thu,Evening,High
Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Lower Manhattan,8,8,11,27.50,27.50,202306,Jun,Thu,Evening,Low
Coffee,Gourmet brewed coffee,Ethiopia Rg,Lower Manhattan,6,6,11,33.00,33.00,202306,Jun,Thu,Evening,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,5,5,8,38.00,38.00,202306,Jun,Thu,Evening,High
Bakery,Scone,Oatmeal Scone,Lower Manhattan,3,3,3,9.00,9.00,202306,Jun,Thu,Afternoon,Low
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,10,10,10,35.00,35.00,202306,Jun,Thu,Afternoon,High
Bakery,Biscotti,Ginger Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202306,Jun,Thu,Afternoon,Low
Coffee,Barista Espresso,Espresso shot,Lower Manhattan,9,9,13,39.00,39.00,202306,Jun,Thu,Evening,High
Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan,20,20,31,62.00,62.00,202306,Jun,Fri,Morning,High
Tea,Brewed Black tea,Earl Grey Lg,Lower Manhattan,24,24,37,111.00,111.00,202306,Jun,Fri,Morning,High
Bakery,Pastry,Chocolate Croissant,Lower Manhattan,35,35,35,135.01,135.01,202306,Jun,Fri,Morning,High
Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan,17,17,22,68.20,68.20,202306,Jun,Fri,Morning,High
Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Lower Manhattan,24,24,38,180.50,180.50,202306,Jun,Fri,Morning,High
Coffee,Barista Espresso,Ouro Brasileiro shot,Lower Manhattan,16,16,30,83.70,83.70,202306,Jun,Fri,Morning,High
Bakery,Scone,Scottish Cream Scone ,Lower Manhattan,11,11,11,51.76,51.76,202306,Jun,Fri,Morning,High
Coffee,Gourmet brewed coffee,Ethiopia Sm,Lower Manhattan,21,21,41,90.20,90.20,202306,Jun,Fri,Morning,High
Bakery,Biscotti,Chocolate Chip Biscotti,Lower Manhattan,5,5,5,17.50,17.50,202306,Jun,Thu,Evening,Low
Coffee,Barista Espresso,Latte Rg,Lower Manhattan,8,8,14,59.50,59.50,202306,Jun,Thu,Evening,High
Coffee,Barista Espresso,Latte,Lower Manhattan,8,8,11,41.25,41.25,202306,Jun,Thu,Evening,High
Tea,Brewed herbal tea,Peppermint Lg,Lower Manhattan,3,3,3,9.00,9.00,202306,Jun,Thu,Evening,Low
Coffee,Organic brewed coffee,Brazilian Rg,Lower Manhattan,4,4,5,15.00,15.00,202306,Jun,Thu,Evening,Low
